rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss
9000.0,39,631,998400,1579,-6379699.566078841,1.231162e-07,0.2,-1.0973036371469498,2.70816e-05,0.0,146496256.0,380,-9.729009412694722e-06,5.960464477539063e-08,288970867.36
9000.0,40,639,1024000,1601,-6361873.55829771,1.7567538e-07,0.2,-1.0982884266376496,2.70048e-05,0.0,117759984.0,390,-1.1344577942509204e-05,0.0,237815474.448
9000.0,41,607,1049600,1727,-6348523.851930581,2.3721252e-07,0.2,-1.1014882573485374,2.6928e-05,0.0,164214928.0,400,-1.6062957933172584e-05,1.1920928955078125e-07,268309115.136
9000.0,42,614,1075200,1749,-6349362.66350514,1.1077616e-07,0.2,-1.1057009954452515,2.68512e-05,0.0,171499824.0,410,-8.454512106254697e-06,5.960464477539063e-08,289169377.376
9000.0,43,621,1100800,1771,-6343722.56870303,1.6323058e-07,0.2,-1.1128350929021835,2.67744e-05,0.0,166292000.0,420,-1.225628750398755e-05,2.384185791015625e-07,301179026.224
9000.0,44,628,1126400,1793,-6321586.821048579,7.3839914e-08,0.2,-1.1173750644922256,2.6697600000000003e-05,0.0,134804976.0,430,-5.602115881629288e-06,5.960464477539063e-08,300758314.32
9000.0,45,634,1152000,1815,-6292791.7349998,1.397566e-07,0.2,-1.098399618923664,2.66208e-05,0.0,160652864.0,440,-1.0631548007950186e-05,0.0,285062503.84
9000.0,46,606,1177600,1940,-6282994.8747933395,1.377915e-07,0.2,-1.109546774148941,2.6544000000000002e-05,0.0,137539216.0,450,-9.934537694789469e-06,1.1920928955078125e-07,270321041.28
9000.0,47,613,1203200,1962,-6273120.908817479,1.478428e-07,0.2,-1.0809059174656868,2.6467200000000003e-05,0.0,156678384.0,460,-1.047204970382154e-05,-1.1920928955078125e-07,279672975.536
9000.0,48,619,1228800,1984,-6276928.226142919,1.5839468e-07,0.2,-1.111169138789177,2.63904e-05,0.0,133283760.0,470,-1.120554335648194e-05,0.0,255108502.448
9000.0,49,625,1254400,2005,-6269653.649674309,1.4332123e-07,0.2,-1.1002856739759446,2.63136e-05,0.0,130092016.0,480,-1.0822074662428349e-05,0.0,328195238.304
9000.0,50,631,1280000,2027,-6275967.38732658,8.307397e-08,0.2,-1.0996718934774399,2.62368e-05,0.0,131365672.0,490,-5.993409897200764e-06,0.0,285013440.656
9000.0,51,606,1305600,2153,-6283045.703333361,1.1099968e-07,0.2,-1.104215631365776,2.616e-05,0.0,147044768.0,500,-9.157702210359275e-06,0.0,307371635.216
9000.0,52,611,1331200,2175,-6274058.16856316,4.105037e-08,0.2,-1.1051697608232498,2.60832e-05,0.0,169763760.0,510,-4.862311412580311e-06,1.1920928955078125e-07,345151664.032
9000.0,53,617,1356800,2196,-6258915.764093219,1.3664132e-07,0.2,-1.0900971868634224,2.60064e-05,0.0,129059376.0,520,-1.0417120531201363e-05,0.0,282742465.104
9000.0,54,623,1382400,2218,-6237432.879763859,1.6704435e-07,0.2,-1.100811686038971,2.59296e-05,0.0,111008584.0,530,-1.13497786805965e-05,0.0,210506227.328
9000.0,55,628,1408000,2240,-6242730.23018495,1.8547057e-07,0.2,-1.1035428817272186,2.58528e-05,0.0,126912336.0,540,-1.2927143019624054e-05,1.1920928955078125e-07,242816292.656
9000.0,56,605,1433600,2366,-6216388.482758489,4.9432273e-08,0.2,-1.0982041600942611,2.5776e-05,0.0,139161472.0,550,-3.9454164798371495e-06,1.1920928955078125e-07,320771294.48
9000.0,57,610,1459200,2388,-6194977.2437217105,1.2847595e-07,0.2,-1.1058387382030488,2.5699200000000003e-05,0.0,131071080.0,560,-9.173425612971187e-06,1.1920928955078125e-07,252969262.736
9000.0,58,615,1484800,2411,-6193066.742468641,8.043135e-08,0.2,-1.0996244860887527,2.56224e-05,0.0,155320096.0,570,-6.299017579294741e-06,1.1920928955078125e-07,269794730.176
9000.0,59,620,1510400,2432,-6159017.65320725,1.5700236e-07,0.2,-1.1046647819280624,2.55456e-05,0.0,111385944.0,580,-1.1051824199967086e-05,1.1920928955078125e-07,263686969.856
9000.0,60,625,1536000,2454,-6140341.493588109,2.4465146e-07,0.2,-1.0914178380966186,2.54688e-05,0.0,112108480.0,590,-1.5948034357279537e-05,0.0,226501136.848
9000.0,61,605,1561600,2580,-6124283.768251879,1.3165176e-07,0.2,-1.1068362064361572,2.5392000000000004e-05,0.0,99022432.0,600,-8.311960962601006e-06,1.1920928955078125e-07,219309293.792
9000.0,62,609,1587200,2602,-6127499.66442189,1.230347e-07,0.2,-1.0997087559700012,2.53152e-05,0.0,111270176.0,610,-9.188946103677153e-06,1.7881393432617188e-07,258328286.704
9000.0,63,614,1612800,2624,-6102567.292010521,5.895272e-08,0.2,-1.0972980097532272,2.5238400000000002e-05,0.0,157781200.0,620,-5.058967275545001e-06,0.0,326819724.56
9000.0,64,619,1638400,2646,-6103982.688875849,8.729752e-08,0.2,-1.102182671546936,2.51616e-05,0.0,121166704.0,630,-6.744994549080729e-06,0.0,240270961.472
9000.0,65,623,1664000,2667,-6102650.523779951,1.1075986e-07,0.2,-1.0974954624176025,2.50848e-05,0.0,146215920.0,640,-8.815732784569263e-06,2.384185791015625e-07,286249598.72
9000.0,66,604,1689600,2793,-6093791.471330781,7.922528e-08,0.2,-1.0906684259176254,2.5008000000000002e-05,0.0,147017152.0,650,-6.167269079014659e-06,0.0,270072175.792
9000.0,67,609,1715200,2815,-6087794.39441686,1.3565645e-07,0.2,-1.0937939337491989,2.49312e-05,0.0,103047424.0,660,-9.530097944661976e-06,0.0,226215078.96
9000.0,68,613,1740800,2837,-6073520.329332379,1.223688e-07,0.2,-1.100825996220112,2.48544e-05,0.0,128285232.0,670,-8.841691189445555e-06,5.960464477539063e-08,248743869.728
9000.0,69,617,1766400,2859,-6053971.527420641,1.4676945e-07,0.2,-1.0940697736740113,2.47776e-05,0.0,89342216.0,680,-1.0333559126593172e-05,-2.384185791015625e-07,241600757.488
9000.0,70,622,1792000,2880,-6045585.15758847,1.4952384e-07,0.2,-1.0924465095996856,2.47008e-05,0.0,125288432.0,690,-1.1030166409909725e-05,0.0,257650169.632
9000.0,71,604,1817600,3006,-6034367.2292914605,1.0604737e-07,0.2,-1.0988624676465988,2.4624e-05,0.0,149381728.0,700,-8.470484986901283e-06,1.1920928955078125e-07,263751918.464
9000.0,72,608,1843200,3028,-6036028.757512319,1.17935706e-07,0.2,-1.0953122255802155,2.45472e-05,0.0,131509136.0,710,-9.17958712670952e-06,0.0,268100075.088
9000.0,73,612,1868800,3049,-6018932.97702335,1.3422454e-07,0.2,-1.0857029367685318,2.44704e-05,0.0,118762352.0,720,-1.0120211401954293e-05,1.1920928955078125e-07,248516649.44
