time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/explained_variance,train/loss
47,4027,298,1203200,-0.33360990396142004,2.6467200000000003e-05,28692.09756097561,5.3900293e-09,0.0,17656494.323,-9.983370546251535e-07,-4656647.074543707,460,0.2,5.960464477539063e-08,9090710.0
48,4049,303,1228800,-0.34638172179460525,2.63904e-05,28699.35714285714,2.422603e-08,0.0,18994013.747,-1.921824412420392e-06,-4668878.274296952,470,0.2,5.960464477539063e-08,10049904.0
49,4071,308,1254400,-0.36094124537706374,2.63136e-05,28705.627906976744,9.250361e-09,0.0,14812175.916,-6.66653853841126e-07,-4667438.388293791,480,0.2,1.1920928955078125e-07,7761647.0
50,4093,312,1280000,-0.34711569392681124,2.62368e-05,28715.477272727272,1.3879035e-08,0.0,13784423.043,-9.757651714608073e-07,-4669999.413147181,490,0.2,5.960464477539063e-08,6506720.0
51,4446,293,1305600,-0.34323223708570005,2.616e-05,28730.4,5.3853726e-09,0.0,12082618.08,-4.3403671588748696e-07,-4680180.961367821,500,0.2,3.5762786865234375e-07,5676346.0
52,4467,297,1331200,-0.3262750100046396,2.60832e-05,28744.021739130436,1.9746366e-08,0.0,12671945.622,-1.4802797231823205e-06,-4681627.335181065,510,0.2,1.1920928955078125e-07,6278884.5
53,4489,302,1356800,-0.3227842000126839,2.60064e-05,28754.787234042553,7.583061e-08,0.0,13783493.984,-4.697708063758909e-06,-4681813.657345254,520,0.2,0.0,6433167.5
54,4511,306,1382400,-0.3314405384808779,2.59296e-05,28723.375,4.8102812e-08,0.0,14871656.213,-3.3536487026140093e-06,-4672881.021049124,530,0.2,2.384185791015625e-07,7781794.5
55,4533,310,1408000,-0.35275371354818347,2.58528e-05,28729.755102040817,1.604436e-08,0.0,13042558.113,-1.273538451641798e-06,-4683762.736739285,540,0.2,0.0,6424614.0
56,4887,293,1433600,-0.3295853524208069,2.5776e-05,28729.755102040817,1.3173558e-08,0.0,19175250.834,-1.4314404688775539e-06,-4683762.736739285,550,0.2,0.0,10488942.0
57,4909,297,1459200,-0.362752041965723,2.5699200000000003e-05,28722.28,1.7154962e-08,0.0,14700015.148,-1.2307910947129131e-06,-4680139.558037459,560,0.2,2.384185791015625e-07,7491556.0
58,4931,301,1484800,-0.3545080390125513,2.56224e-05,28729.686274509804,3.049383e-08,0.0,16223024.514,-1.6993465542327613e-06,-4685764.600106822,570,0.2,1.1920928955078125e-07,7944069.0
59,4953,304,1510400,-0.3502050519138575,2.55456e-05,28748.865384615383,3.243331e-08,0.0,15542638.989,-2.1114457631483675e-06,-4697660.979835633,580,0.2,0.0,8072810.0
60,4974,308,1536000,-0.3437854638546705,2.54688e-05,28741.32075471698,4.3453184e-08,0.0,10568176.684,-2.4334905319847166e-06,-4692584.327755528,590,0.2,0.0,5524523.0
61,5328,293,1561600,-0.34121114131808283,2.5392000000000004e-05,28746.48148148148,2.0225999e-08,0.0,11990803.598,-1.632228959351778e-06,-4695516.546034222,600,0.2,0.0,6242465.5
62,5350,296,1587200,-0.32922511456906794,2.53152e-05,28731.0,2.720859e-08,0.0,14126724.574,-1.7867536516860127e-06,-4685376.411532762,610,0.2,0.0,7793044.5
63,5371,300,1612800,-0.34439501920342447,2.5238400000000002e-05,28719.64285714286,1.8761494e-08,0.0,12310266.877,-1.7531648045405745e-06,-4681856.442469732,620,0.2,1.7881393432617188e-07,5487408.0
64,5393,303,1638400,-0.34367131754755975,2.51616e-05,28731.912280701756,2.7834904e-08,0.0,14399940.35,-2.2640039678663016e-06,-4683089.276667702,630,0.2,5.960464477539063e-08,7091592.5
65,5415,307,1664000,-0.32712619738280774,2.50848e-05,28731.912280701756,5.885959e-09,0.0,15581940.44,-5.676988512277603e-07,-4683089.276667702,640,0.2,5.960464477539063e-08,7419230.0
