time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss
4674,9000.0,2611200,-2956176.43937881,558,102,0.0,0.2,5.960464477539063e-08,-1.0681608964204787,2.22432e-05,42479069.872,4.076492e-07,-1.785905717406422e-05,1010,23342456.0
4697,9000.0,2636800,-2958588.0721410806,561,103,0.0,0.2,0.0,-1.0682337985038757,2.21664e-05,60899998.896,3.3393502e-07,-1.7079055425710978e-05,1020,30911412.0
4721,9000.0,2662400,-2950716.05465432,563,104,0.0,0.2,0.0,-1.065495812535286,2.20896e-05,68368179.904,1.5080441e-07,-8.82908928906545e-06,1030,35706056.0
4744,9000.0,2688000,-2942078.10556724,566,105,0.0,0.2,5.960464477539063e-08,-1.0545349544286728,2.20128e-05,47432286.396,2.475758e-07,-1.0783932055346667e-05,1040,28970392.0
4882,9000.0,2713600,-2939303.64837071,555,106,0.0,0.2,0.0,-1.0743060982823371,2.1936e-05,54935699.108,1.7562648e-07,-9.055905160494149e-06,1050,31830476.0
4906,9000.0,2739200,-2939582.5541832,558,107,0.0,0.2,5.960464477539063e-08,-1.0649106790423393,2.18592e-05,65782157.488,2.2134046e-07,-1.1763316579163074e-05,1060,29784336.0
4929,9000.0,2764800,-2928638.1329435194,560,108,0.0,0.2,-1.1920928955078125e-07,-1.0669075394272804,2.1782400000000003e-05,63063878.332,1.3573793e-07,-7.802787120454013e-06,1070,36412524.0
4952,9000.0,2790400,-2920956.8317504,563,109,0.0,0.2,0.0,-1.0587992189526558,2.1705599999999998e-05,65075436.176,2.961862e-07,-1.628553355112672e-05,1080,30167236.0
4976,9000.0,2816000,-2913231.3184655593,565,110,0.0,0.2,1.7881393432617188e-07,-1.0580361335277557,2.1628800000000002e-05,53468186.132,2.972316e-07,-1.4238313946407289e-05,1090,24872902.0
5114,9000.0,2841600,-2904425.4562865705,555,111,0.0,0.2,0.0,-1.0467105650305748,2.1552e-05,47831469.662,3.3662423e-07,-1.538221025839448e-05,1100,22132514.0
5137,9000.0,2867200,-2892466.68682917,558,112,0.0,0.2,0.0,-1.0708963504433633,2.14752e-05,44610176.938,5.3267695e-07,-2.5031170109286904e-05,1110,21484752.0
5161,9000.0,2892800,-2879332.46112759,560,113,0.0,0.2,1.1920928955078125e-07,-1.070080392420292,2.13984e-05,52994754.172,1.7815037e-07,-9.057028539245948e-06,1120,27376698.0
5184,9000.0,2918400,-2870632.4897697796,562,114,0.0,0.2,1.1920928955078125e-07,-1.061906673014164,2.1321600000000003e-05,52126029.352,2.3585278e-07,-1.2498004012741148e-05,1130,27796256.0
5208,9000.0,2944000,-2856133.5685102493,565,115,0.0,0.2,0.0,-1.0624456670880318,2.12448e-05,57465517.828,2.1692132e-07,-1.1007132241502404e-05,1140,30496578.0
5346,9000.0,2969600,-2854223.6208909596,555,116,0.0,0.2,5.960464477539063e-08,-1.066314245700836,2.1168e-05,47336457.344,3.3146236e-07,-1.5923796803690492e-05,1150,23460848.0
5369,9000.0,2995200,-2844055.2075677896,557,117,0.0,0.2,0.0,-1.0535994532704354,2.10912e-05,59025481.964,1.9886531e-07,-1.1046774801798165e-05,1160,26885688.0
5392,9000.0,3020800,-2826233.7573597305,560,118,0.0,0.2,0.0,-1.0547872135043144,2.10144e-05,44965872.912,3.4123192e-07,-1.5786368399858475e-05,1170,23520204.0
5416,9000.0,3046400,-2819858.68918034,562,119,0.0,0.2,1.1920928955078125e-07,-1.0566524060368538,2.09376e-05,52452564.5,2.1465588e-07,-1.0964180692099035e-05,1180,22313444.0
5439,9000.0,3072000,-2807212.3844508203,564,120,0.0,0.2,-1.1920928955078125e-07,-1.0603273191452027,2.08608e-05,58163415.044,1.653703e-07,-8.969965390861034e-06,1190,26660504.0
5577,9000.0,3097600,-2804154.2494758205,555,121,0.0,0.2,1.1920928955078125e-07,-1.0637389962673187,2.0784000000000003e-05,54489360.472,1.2425008e-07,-6.664453423582017e-06,1200,28526300.0
5600,9000.0,3123200,-2793076.9266835395,557,122,0.0,0.2,0.0,-1.0599928944706918,2.07072e-05,55424475.024,2.48563e-07,-1.294062758097425e-05,1210,31977064.0
5624,9000.0,3148800,-2799240.03369066,559,123,0.0,0.2,0.0,-1.0576682493686675,2.06304e-05,54844943.524,2.1921005e-07,-1.1989766731858254e-05,1220,30025180.0
5648,9000.0,3174400,-2787052.3672659295,562,124,0.0,0.2,0.0,-1.0397093636989594,2.05536e-05,56305341.724,2.1699816e-07,-1.1988043726887553e-05,1230,27064748.0
5671,9000.0,3200000,-2781686.6145652197,564,125,0.0,0.2,5.960464477539063e-08,-1.0610762003064156,2.0476800000000004e-05,47569555.908,2.165488e-07,-1.110452925786376e-05,1240,24611780.0
