rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/n_updates
18172.5,-141811.7760580333,22,1055,563200,533,-9.789859934244304e-05,7960.9402421875,0.0,9.440586e-05,2.9802322387695312e-06,-0.9004383889436722,0.2,2.8387199999999998e-05,3556.61328125,210
18179.375,-142308.83232215623,23,1099,588800,535,-3.136672801338136e-05,88852.4138125,0.0,6.6552984e-06,1.6093254089355469e-06,-0.9260053350925446,0.2,2.83104e-05,47489.984375,220
18170.969696969696,-144302.690915303,24,1145,614400,536,-4.5350225293077526e-05,21980.613423828127,0.0,1.3364281e-05,1.9073486328125e-06,-0.8861255873441696,0.2,2.82336e-05,9874.9384765625,230
18192.628571428573,-143766.00241094283,25,1187,640000,539,-1.7776842461898922e-05,35182.721169921875,0.0,4.5288984e-06,1.430511474609375e-06,-0.9102030003070831,0.2,2.8156799999999998e-05,19483.474609375,240
18190.25,-141873.56785347222,26,1226,665600,542,-1.875985728111118e-05,45058.13546875,0.0,8.7088465e-06,1.3709068298339844e-06,-0.9234916033148766,0.2,2.808e-05,24891.1953125,250
18185.842105263157,-141467.8821796316,27,1265,691200,546,-8.934611204313114e-05,18715.602115234375,0.0,4.4530883e-05,1.430511474609375e-06,-0.8984132261276245,0.2,2.8003200000000003e-05,9566.88671875,260
18190.846153846152,-140603.2977416923,28,1304,716800,549,-4.162127082236111e-05,34373.6350703125,0.0,1.6109065e-05,1.1324882507324219e-06,-0.9087156993150711,0.2,2.79264e-05,17805.078125,270
18188.25,-139831.816022275,29,1343,742400,552,-8.792785240802914e-05,17171.613165039063,0.0,5.5666882e-05,1.1920928955078125e-06,-0.8977830813527107,0.2,2.7849600000000002e-05,8976.0869140625,280
18203.54761904762,-136988.55363407143,30,1380,768000,556,-3.971836058190092e-05,16132.818052734376,0.0,2.1895818e-05,1.1920928955078125e-06,-0.9011526910066605,0.2,2.7772800000000003e-05,7893.38916015625,290
18198.906976744187,-136817.42647065117,31,1546,793600,513,-0.00010037066444056109,14714.657754882812,0.0,5.429373e-05,8.940696716308594e-07,-0.8778282623291016,0.2,2.7696e-05,8515.0400390625,300
