time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/value_loss
1075200,3565,301,42,2.68512e-05,2.4610198e-08,-1.6178752994164824e-06,26056.268292682926,0.2,410,6147160.5,-3694203.543074634,-0.38572122424840927,0.0,1.7881393432617188e-07,12371861.995
1100800,3587,306,43,2.67744e-05,3.1865202e-08,-1.5515401028096677e-06,26045.04761904762,0.2,420,5235781.0,-3690406.305032095,-0.38278811404109003,0.0,1.1920928955078125e-07,10667997.908
1126400,3609,312,44,2.6697600000000003e-05,3.5101547e-08,-1.953703700564802e-06,26046.279069767443,0.2,430,4876164.0,-3697956.817861791,-0.3910039746165276,0.0,2.384185791015625e-07,10144005.2585
1152000,3632,317,45,2.66208e-05,5.8766454e-09,-5.029721651226282e-07,26049.704545454544,0.2,440,5689391.0,-3701753.8610379086,-0.37915457972884176,0.0,2.384185791015625e-07,12376055.495
1177600,3963,297,46,2.6544000000000002e-05,1.7031562e-08,-9.137322194874286e-07,26050.222222222223,0.2,450,5380896.0,-3695287.106652977,-0.38132540094852446,0.0,1.7881393432617188e-07,11201254.383
1203200,3985,301,47,2.6467200000000003e-05,6.7823564e-08,-3.2581101986579597e-06,26041.021739130436,0.2,460,4816222.5,-3686059.885825151,-0.38905154994130137,0.0,1.1920928955078125e-07,9079751.453
1228800,4007,306,48,2.63904e-05,3.317371e-08,-1.8162009655497969e-06,26054.212765957447,0.2,470,4761247.0,-3697480.4496545526,-0.39134135872125625,0.0,1.7881393432617188e-07,8874968.322
1254400,4029,311,49,2.63136e-05,3.4968835e-08,-2.3482301039621234e-06,26053.791666666668,0.2,480,6590119.0,-3697507.4579100627,-0.37645144405961034,0.0,0.0,13117343.895
1280000,4052,315,50,2.62368e-05,1.0151416e-08,-8.26864445116371e-07,26052.061224489797,0.2,490,5602746.0,-3699803.761996735,-0.37826193583011625,0.0,0.0,10618549.532
1305600,4381,297,51,2.616e-05,1.9045547e-08,-1.5341872349381446e-06,26049.02,0.2,500,5502671.0,-3695195.7556502204,-0.3832495966851711,0.0,0.0,11367252.007
1331200,4403,302,52,2.60832e-05,1.5203842e-08,-9.766796720214188e-07,26048.07843137255,0.2,510,4845129.5,-3697469.503322785,-0.38606920912861825,0.0,2.384185791015625e-07,9365625.483
1356800,4425,306,53,2.60064e-05,3.2477548e-08,-2.01430096058175e-06,26045.21153846154,0.2,520,5443815.0,-3700175.1017759424,-0.37984237894415857,0.0,0.0,11334760.889
1382400,4447,310,54,2.59296e-05,3.1362288e-09,-4.836277512367815e-07,26036.43396226415,0.2,530,6249223.0,-3695861.463085321,-0.38726340064406395,0.0,1.7881393432617188e-07,11401608.424
1408000,4469,314,55,2.58528e-05,3.992347e-08,-2.0320558687672018e-06,26045.722222222223,0.2,540,4968439.5,-3699730.2439342407,-0.3901378408968449,0.0,1.1920928955078125e-07,9606540.1265
1433600,4798,298,56,2.5776e-05,2.7916395e-08,-1.5390757471323013e-06,26044.127272727274,0.2,550,6075001.5,-3691915.589404927,-0.37699455726146697,0.0,1.7881393432617188e-07,12005872.172
1459200,4820,302,57,2.5699200000000003e-05,7.038936e-08,-3.503414831357077e-06,26036.98214285714,0.2,560,3917871.25,-3690266.2675866433,-0.3802530701160431,0.0,1.7881393432617188e-07,8496764.5485
1484800,4842,306,58,2.56224e-05,5.0165692e-08,-2.4467759067192674e-06,26037.508771929824,0.2,570,5620731.0,-3688088.78070379,-0.39094950711727144,0.0,1.1920928955078125e-07,10360690.468
1510400,4864,310,59,2.55456e-05,1.935521e-08,-1.497981560532935e-06,26037.508771929824,0.2,580,4926249.5,-3688088.78070379,-0.3834031588435173,0.0,1.1920928955078125e-07,9957436.574
1536000,4886,314,60,2.54688e-05,1.5348196e-08,-1.2438427656888962e-06,26049.327586206895,0.2,590,4801459.0,-3685926.936266483,-0.37759320190548895,0.0,0.0,9975659.5025
1561600,5215,299,61,2.5392000000000004e-05,3.571622e-08,-2.170097781345248e-06,26049.254237288136,0.2,600,5479004.0,-3686431.7632155935,-0.38648477134108544,0.0,0.0,10790185.911
1587200,5237,303,62,2.53152e-05,1.3438985e-08,-8.629914373159409e-07,26045.866666666665,0.2,610,4489688.0,-3683487.78587205,-0.390325607329607,0.0,0.0,9903319.275
1612800,5259,306,63,2.5238400000000002e-05,2.1588058e-08,-1.7387056432198732e-06,26055.16393442623,0.2,620,6041229.0,-3688622.783341639,-0.38197047662734984,0.0,1.7881393432617188e-07,12425566.965
1638400,5281,310,64,2.51616e-05,6.385147e-08,-3.437307255808264e-06,26053.274193548386,0.2,630,5149909.0,-3684842.2627309198,-0.38703416800498963,0.0,1.7881393432617188e-07,9149525.054
1664000,5303,313,65,2.50848e-05,3.8980506e-08,-2.2072975989431144e-06,26052.0,0.2,640,4832143.0,-3681943.6109250956,-0.39162913343310357,0.0,1.7881393432617188e-07,9805007.896
1689600,5633,299,66,2.5008000000000002e-05,1.143897e-08,-9.708423167467117e-07,26049.859375,0.2,650,5400916.0,-3682020.1610398125,-0.38534563183784487,0.0,0.0,10656573.977
1715200,5672,302,67,2.49312e-05,2.3972243e-08,-1.3284375309012831e-06,26047.73846153846,0.2,660,4496179.0,-3678594.0544136614,-0.38642274850606917,0.0,0.0,9255126.7995
1740800,5694,305,68,2.48544e-05,5.888287e-09,-7.067811675369739e-07,26046.545454545456,0.2,670,5633992.0,-3680944.614923182,-0.3887534763216972,0.0,0.0,11278552.441
1766400,5716,309,69,2.47776e-05,1.5436672e-08,-1.482859835959971e-06,26032.507462686568,0.2,680,5226906.0,-3677031.3244186416,-0.39370427522063256,0.0,1.1920928955078125e-07,9720710.5485
1792000,5738,312,70,2.47008e-05,1.0721851e-08,-5.517840036191046e-07,26031.470588235294,0.2,690,5104407.0,-3676520.85730825,-0.3895723819434643,0.0,1.1920928955078125e-07,10562700.195
