rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss
-1401322.9390831816,1382400,54,3526,392,13895.868686868687,6.7735094e-08,4654695.00925,2403500.0,0.2,0.0,2.59296e-05,1.7881393432617188e-07,530,-0.2898677690476179,-2.292162273079157e-06
-1398771.4512612699,1408000,55,3548,396,13900.79,5.481299e-08,4281387.8275,2155527.5,0.2,0.0,2.58528e-05,1.7881393432617188e-07,540,-0.304789164096117,-2.2929321276023983e-06
-1398357.8784398898,1433600,56,3735,383,13900.5,2.0919833e-08,5282223.41775,2554160.0,0.2,0.0,2.5776e-05,1.1920928955078125e-07,550,-0.2816674212962389,-8.191508240997792e-07
-1397895.03880749,1459200,57,3757,388,13892.74,3.2191164e-08,5384511.386,2946536.75,0.2,0.0,2.5699200000000003e-05,1.1920928955078125e-07,560,-0.29058514222502707,-1.3658880488947033e-06
-1394764.93138082,1484800,58,3779,392,13890.34,1.5748665e-07,6375478.675,3120833.5,0.2,0.0,2.56224e-05,5.960464477539063e-08,570,-0.29837092439830304,-5.0182747654616835e-06
-1389479.9880777097,1510400,59,3802,397,13880.71,6.176997e-09,4604844.776,2195037.5,0.2,0.0,2.55456e-05,0.0,580,-0.31959458117187023,-3.4631392918527125e-07
-1388499.2735938898,1536000,60,3824,401,13878.74,6.245682e-08,5212368.51475,2396247.75,0.2,0.0,2.54688e-05,1.1920928955078125e-07,590,-0.3103907835483551,-1.28681561909616e-06
-1387316.7850052898,1561600,61,4011,389,13884.64,2.8482173e-08,4774741.939,2742064.75,0.2,0.0,2.5392000000000004e-05,0.0,600,-0.2905856153815985,-1.2939622392877936e-06
-1387718.2501786202,1587200,62,4034,393,13886.75,3.9115548e-08,5426191.985,2701971.75,0.2,0.0,2.53152e-05,1.7881393432617188e-07,610,-0.2875848205536604,-1.999206026084721e-06
-1387013.12238839,1612800,63,4056,397,13886.17,6.334856e-08,5736004.473,2663562.0,0.2,0.0,2.5238400000000002e-05,2.384185791015625e-07,620,-0.2910388261526823,-2.0973209175281227e-06
