time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss
545,-814608.5130605804,6000.0,1945600,3564,76,0.2,0.0,750,2.4240000000000002e-05,1.6558613e-06,9225273.089,-2.580793551169336e-05,0.0,4338106.5,-0.6524347033500671
549,-803001.4259090603,6000.0,1971200,3588,77,0.2,1.7881393432617188e-07,760,2.41632e-05,2.6611822e-06,8221838.0865,-3.728469426278025e-05,0.0,4308138.5,-0.6454580413103104
552,-795582.0788484602,6000.0,1996800,3612,78,0.2,0.0,770,2.40864e-05,3.8813264e-06,5732069.0665,-4.629459255374968e-05,0.0,2728414.75,-0.6514876227974892
556,-783969.6439848298,6000.0,2022400,3636,79,0.2,0.0,780,2.40096e-05,3.6372664e-06,7371998.184,-4.880986147327349e-05,0.0,3552854.5,-0.6526421827077865
559,-769924.9465151301,6000.0,2048000,3660,80,0.2,2.384185791015625e-07,790,2.3932800000000002e-05,2.2787112e-06,6396153.642,-2.7786453836597502e-05,0.0,3148381.0,-0.6465780131220817
551,-754260.8729090701,6000.0,2073600,3761,81,0.2,1.1920928955078125e-07,800,2.3856e-05,3.5057217e-06,5776675.35725,-4.177536757197231e-05,0.0,2649004.25,-0.6536833712458611
554,-750629.71893938,6000.0,2099200,3784,82,0.2,5.960464477539063e-08,810,2.37792e-05,3.5003713e-06,6215984.0505,-4.477788077201694e-05,0.0,2799131.75,-0.6528776871562004
557,-740636.82143938,6000.0,2124800,3807,83,0.2,5.960464477539063e-08,820,2.3702400000000002e-05,1.1825841e-06,8062185.6865,-1.7533896607346832e-05,0.0,3845661.0,-0.6417513795495033
560,-726985.8000454399,6000.0,2150400,3834,84,0.2,5.960464477539063e-08,830,2.36256e-05,4.666066e-07,6067760.905,-6.792167376261205e-06,0.0,3402243.75,-0.6463918949365616
563,-718587.02353029,6000.0,2176000,3861,85,0.2,1.1920928955078125e-07,840,2.35488e-05,3.88548e-06,4220723.3095,-4.34624464251101e-05,0.0,2509473.75,-0.6437331067919732
555,-712875.1382575801,6000.0,2201600,3962,86,0.2,1.7881393432617188e-07,850,2.3472e-05,4.652459e-06,5211473.3505,-5.6397490145172925e-05,0.0,2956207.0,-0.6404684884548187
558,-702916.92500001,6000.0,2227200,3986,87,0.2,5.960464477539063e-08,860,2.33952e-05,3.8697594e-06,7199824.451,-5.201138381380588e-05,0.0,4009970.0,-0.64533216547966
561,-704505.4869394,6000.0,2252800,4009,88,0.2,2.384185791015625e-07,870,2.33184e-05,3.2071327e-06,4821224.4005,-3.8154587033204735e-05,0.0,2037939.875,-0.6386703385710716
564,-700458.4781363802,6000.0,2278400,4032,89,0.2,5.960464477539063e-08,880,2.3241599999999998e-05,1.7350679e-06,6473886.2905,-2.4180075444746762e-05,0.0,3215676.0,-0.6335980422496795
568,-682991.83868183,6000.0,2304000,4056,90,0.2,0.0,890,2.31648e-05,3.7007196e-06,5430259.215,-4.7682941309176386e-05,0.0,2531897.5,-0.638793128311634
560,-672847.8145909299,6000.0,2329600,4156,91,0.2,5.960464477539063e-08,900,2.3088000000000003e-05,1.9701338e-06,5094715.55025,-2.4975586507935077e-05,0.0,2263186.25,-0.6450339129567146
