         388408497 function calls (387113178 primitive calls) in 354.312 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      401    0.001    0.000    0.558    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:5826(parallel_map_dataset_v2)
      402    0.002    0.000    0.541    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_array_ops.py:4001(gather_v2)
   239804    0.237    0.000    0.531    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\util\options.py:99(get_fn)
      401    0.001    0.000    0.527    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:3508(map_dataset)
    16088    0.078    0.000    0.517    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\func_graph.py:445(inner_cm)
      401    0.002    0.000    0.483    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:973(range)
  3024426    0.483    0.000    0.483    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\multiarray.py:669(result_type)
      401    0.001    0.000    0.479    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\range_op.py:24(_range)
      401    0.005    0.000    0.478    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\range_op.py:31(__init__)
     3208    0.006    0.000    0.469    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4456(__init__)
      401    0.002    0.000    0.467    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1016(zip)
      401    0.001    0.000    0.463    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\zip_op.py:23(_zip)
      401    0.006    0.000    0.462    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\zip_op.py:30(__init__)
    26260    0.190    0.000    0.459    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\inspect.py:2387(_signature_from_function)
      576    0.002    0.000    0.446    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\atomic_function.py:214(call_preflattened)
    12463    0.092    0.000    0.439    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\ops.py:1548(get_attr)
    11179    0.022    0.000    0.423    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\tf_stack.py:150(extract_stack)
    11688    0.032    0.000    0.412    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\tf_decorator.py:308(__init__)
      576    0.006    0.000    0.397    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\context.py:1490(call_function)
    11179    0.397    0.000    0.397    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack}
      576    0.002    0.000    0.388    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\execute.py:28(quick_execute)
      576    0.385    0.001    0.385    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
    12564    0.032    0.000    0.384    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\nest_util.py:866(_tf_core_pack_sequence_as)
      401    0.003    0.000    0.379    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:7748(tensor_slice_dataset)
      401    0.001    0.000    0.373    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:6094(range_dataset)
      401    0.001    0.000    0.362    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1343(repeat)
      401    0.001    0.000    0.360    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\repeat_op.py:24(_repeat)
      401    0.004    0.000    0.359    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\repeat_op.py:31(__init__)
     3858    0.092    0.000    0.337    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\tensor_util.py:425(make_tensor_proto)
     2472    0.009    0.000    0.325    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\func_graph.py:64(convert_structure_to_signature)
     2005    0.003    0.000    0.325    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4467(__init__)
    10248    0.010    0.000    0.315    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\nest_util.py:729(pack_sequence_as)
     1203    0.007    0.000    0.314    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\structured_function.py:228(trace_tf_function)
     2412    0.007    0.000    0.312    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\polymorphic_function.py:574(_generate_scoped_tracing_options)
      401    0.002    0.000    0.307    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:8267(zip_dataset)
     1206    0.018    0.000    0.293    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\polymorphic_function.py:462(__init__)
        1    0.005    0.005    0.291    0.291 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\rollouts.py:102(random_states)
      401    0.001    0.000    0.290    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:6323(repeat_dataset)
    11270    0.075    0.000    0.283    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\nest_util.py:174(sequence_like)
   107892    0.165    0.000    0.278    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\dtypes.py:793(as_dtype)
    16088    0.071    0.000    0.263    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\ops.py:4654(get_controller)
