rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
-4559157.3630627105,998400,1967,9000.0,507,39,-5.712840938940644e-06,0.0,2.384185791015625e-07,80415632.0,158257657.608,380,2.70816e-05,7.835683e-08,0.2,-1.0878094549179078
-4554813.39728188,1024000,1997,9000.0,512,40,-7.0991855463944374e-06,0.0,0.0,73596752.0,152456340.008,390,2.70048e-05,1.14473515e-07,0.2,-1.0841134172081948
-4542505.1027750205,1049600,2145,9000.0,489,41,-1.0096591082401574e-05,0.0,0.0,82240408.0,134507831.16,400,2.6928e-05,1.7014798e-07,0.2,-1.0653488430976867
-4538900.27878288,1075200,2188,9000.0,491,42,-4.98767860699445e-06,0.0,5.960464477539063e-08,77678112.0,150824753.584,410,2.68512e-05,6.6482464e-08,0.2,-1.082323698401451
-4539033.83110204,1100800,2211,9000.0,497,43,-4.1810515685938295e-06,0.0,0.0,69524664.0,142492102.352,420,2.67744e-05,6.496208e-08,0.2,-1.0781783061027528
-4531593.065696189,1126400,2238,9000.0,503,44,-4.750435473397374e-06,0.0,0.0,102458816.0,164415514.312,430,2.6697600000000003e-05,6.988645e-08,0.2,-1.0900939272046088
-4533975.8600743795,1152000,2262,9000.0,509,45,-8.635135949589312e-06,0.0,5.960464477539063e-08,76535048.0,154883575.416,440,2.66208e-05,1.352653e-07,0.2,-1.0829055342078209
-4527504.824213871,1177600,2401,9000.0,490,46,-2.796830900479108e-06,0.0,0.0,93938744.0,178515757.184,450,2.6544000000000002e-05,3.213063e-08,0.2,-1.0969972929954528
-4519199.78616728,1203200,2425,9000.0,496,47,-7.198920531664044e-06,0.0,0.0,75952320.0,145950379.456,460,2.6467200000000003e-05,1.1001713e-07,0.2,-1.0681326231360435
-4504789.64794128,1228800,2455,9000.0,500,48,-6.900935608427972e-06,0.0,5.960464477539063e-08,81849080.0,136987480.88,470,2.63904e-05,9.9402385e-08,0.2,-1.0838192962408066
-4503624.54181528,1254400,2479,9000.0,505,49,-3.5175177617929877e-06,0.0,0.0,75002640.0,140179424.032,480,2.63136e-05,4.8512593e-08,0.2,-1.0858237929344177
-4484444.03829399,1280000,2502,9000.0,511,50,-4.131286405026913e-06,0.0,-1.1920928955078125e-07,76933088.0,151169016.976,490,2.62368e-05,5.4810663e-08,0.2,-1.0868814521431922
-4476489.754031789,1305600,2642,9000.0,494,51,-7.703337352722884e-06,0.0,5.960464477539063e-08,63945304.0,137441646.616,500,2.616e-05,1.2614066e-07,0.2,-1.0895362664461137
-4477180.685247589,1331200,2671,9000.0,498,52,-5.578893702477217e-06,0.0,0.0,77838584.0,146353897.864,510,2.60832e-05,8.161878e-08,0.2,-1.0895756797790528
-4485635.99035545,1356800,2694,9000.0,503,53,-5.054715787991881e-06,0.0,1.7881393432617188e-07,74121648.0,157447331.84,520,2.60064e-05,7.5523275e-08,0.2,-1.0722202239632606
-4484746.00000466,1382400,2717,9000.0,508,54,-4.969442612491548e-06,0.0,1.1920928955078125e-07,72055072.0,132147845.296,530,2.59296e-05,7.4412675e-08,0.2,-1.0655197206735612
-4469932.504279399,1408000,2741,9000.0,513,55,-7.343345205299557e-06,0.0,0.0,81779672.0,151277222.288,540,2.58528e-05,1.10315156e-07,0.2,-1.0913773201704025
-4458651.115121591,1433600,2881,9000.0,497,56,-7.709195022471249e-06,0.0,0.0,75433784.0,145327645.392,550,2.5776e-05,1.1894619e-07,0.2,-1.0871427575349808
-4452530.26049243,1459200,2904,9000.0,502,57,-4.301304172258824e-06,0.0,0.0,62534216.0,148994886.728,560,2.5699200000000003e-05,5.832175e-08,0.2,-1.091511991918087
-4451297.73575075,1484800,2927,9000.0,507,58,-7.612609420903027e-06,0.0,-1.1920928955078125e-07,77239944.0,149476674.704,570,2.56224e-05,9.980053e-08,0.2,-1.0849550427198411
-4438472.211407989,1510400,2951,9000.0,511,59,-8.922504377551378e-06,0.0,0.0,80077528.0,149096779.864,580,2.55456e-05,1.2772391e-07,0.2,-1.0811110626459122
-4430158.74216982,1536000,2974,9000.0,516,60,-1.0796609916724264e-05,0.0,0.0,83606272.0,151603973.224,590,2.54688e-05,1.4988473e-07,0.2,-1.0578288229703903
-4430896.796706171,1561600,3114,9000.0,501,61,-4.477945389226079e-06,0.0,0.0,68296312.0,134687741.264,600,2.5392000000000004e-05,7.233117e-08,0.2,-1.0842492800354957
-4435082.9838568,1587200,3137,9000.0,505,62,-4.872320452705025e-06,0.0,0.0,90448480.0,152634106.392,610,2.53152e-05,5.680602e-08,0.2,-1.0727681683897972
-4433492.729042178,1612800,3161,9000.0,510,63,-4.786868230439723e-06,0.0,0.0,66779496.0,153054293.44,620,2.5238400000000002e-05,6.789109e-08,0.2,-1.073538291156292
-4432979.318736859,1638400,3184,9000.0,514,64,-5.1396919880062344e-06,0.0,0.0,80413280.0,151259937.288,630,2.51616e-05,7.783994e-08,0.2,-1.090994700193405
-4427937.323960429,1664000,3208,9000.0,518,65,-3.5460784565657376e-06,0.0,1.7881393432617188e-07,68858616.0,145619399.624,640,2.50848e-05,3.659632e-08,0.2,-1.0853384264111519
-4417501.48570212,1689600,3348,9000.0,504,66,-1.0580078233033418e-05,0.0,0.0,77816760.0,143540486.944,650,2.5008000000000002e-05,1.5995232e-07,0.2,-1.0607409281134605
-4411439.70611419,1715200,3371,9000.0,508,67,-9.96430721716024e-06,0.0,1.1920928955078125e-07,54857156.0,111919607.552,660,2.49312e-05,1.5429687e-07,0.2,-1.0609404823184014
