time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/approx_kl
345,814,11,281600,-1.2197699397802354e-06,0.0,25761.5,-0.3959690295159817,100,2.9232e-05,34631078.456,-6756788.8558155,17813048.0,0.2,8.225440979003906e-06,1.3986137e-08
367,835,12,307200,-5.06201758980751e-07,0.0,25749.18181818182,-0.39432220298051834,110,2.91552e-05,33069204.214,-6723914.910346091,16529016.0,0.2,8.106231689453125e-06,2.9453076e-09
388,857,13,332800,-3.9302126970142127e-07,0.0,25767.75,-0.3875986051857471,120,2.9078400000000003e-05,35185935.94,-6716938.602154166,18646688.0,0.2,3.6954879760742188e-06,4.149042e-09
407,878,14,358400,-1.3087838888168335e-06,0.0,25761.384615384617,-0.3893239665776491,130,2.90016e-05,34020340.284,-6699209.299660077,16347057.0,0.2,3.039836883544922e-06,1.9785949e-08
426,899,15,384000,-8.77981074154377e-07,0.0,25778.0,-0.39049310052394864,140,2.89248e-05,36154418.882,-6697436.978782358,17139298.0,0.2,1.7285346984863281e-06,8.777715e-09
338,1210,16,409600,-3.4616177435964347e-07,0.0,25784.466666666667,-0.38867985433340074,150,2.8848000000000002e-05,38360562.478,-6711296.977602467,16813318.0,0.2,1.6093254089355469e-06,0.0
353,1231,17,435200,-1.7992357024922966e-06,0.0,25803.25,-0.38660803452134135,160,2.87712e-05,38406592.48,-6732002.496707188,18988888.0,0.2,1.3113021850585938e-06,2.095243e-08
367,1252,18,460800,-4.103709361515939e-07,0.0,25788.352941176472,-0.39354747036099436,170,2.86944e-05,32454640.8,-6713684.409590765,15460716.0,0.2,9.5367431640625e-07,3.715977e-09
381,1274,19,486400,-8.823119569569827e-07,0.0,25808.833333333332,-0.3835396130383015,180,2.8617600000000002e-05,40662770.684,-6742751.971345889,21129742.0,0.2,5.960464477539062e-07,9.22475e-09
395,1295,20,512000,-7.295794785022736e-07,0.0,25807.21052631579,-0.3926763874590397,190,2.85408e-05,36751376.318,-6743935.716320527,17811530.0,0.2,5.364418029785156e-07,9.813812e-09
334,1605,21,537600,-1.3429473619908094e-06,0.0,25821.5,-0.3907859880179167,200,2.8464e-05,31850667.622,-6729442.236425149,16758511.0,0.2,5.364418029785156e-07,1.4728866e-08
346,1626,22,563200,-1.5585003420710563e-06,0.0,25839.809523809523,-0.3824990492761135,210,2.8387199999999998e-05,41585304.872,-6755051.153806428,18573712.0,0.2,4.172325134277344e-07,1.6200357e-08
